CechSingularSpec.transport_refinement :: [Classical.choice, Quot.sound, propext]
CechSpinLift.ObstructionClass :: [Classical.choice, Quot.sound, propext]
CechSpinLift.SpinLiftFamily :: [Classical.choice, Quot.sound, propext]
CechSpinLift.SpinLiftFamily.defect_change_of_lift :: [Classical.choice, Quot.sound, propext]
CechSpinLift.SpinLiftFamily.defect_delta_eq_one :: [Classical.choice, Quot.sound, propext]
CechSpinLift.SpinLiftFamily.defect_isLocallyConstant :: [Classical.choice, Quot.sound, propext]
CechSpinLift.SpinLiftFamily.defect_mem_ker :: [Classical.choice, Quot.sound, propext]
CechSpinLift.SpinLiftFamily.obstruction_eq_trivialClass_iff_exists_coherent :: [Classical.choice, Quot.sound, propext]
CechSpinLift.SpinLiftFamily.obstruction_lift_independent :: [Classical.choice, Quot.sound, propext]
CechSpinLift.SpinLiftFamily.obstruction_pullLift :: [Classical.choice, Quot.sound, propext]
CechSpinLift.SpinLiftFamily.obstruction_pullLift_indep_of_map :: [Classical.choice, Quot.sound, propext]
CechSpinLift.SpinLiftFamily.spinLiftObstruction_defect :: [Classical.choice, Quot.sound, propext]
CechSpinLift.VisibleCocycle :: [Quot.sound, propext]
CechSpinLift.VisibleCocycle.visible_transition_laws :: [Quot.sound, propext]
CechSpinLift.exists_lift_nhdsWithin :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.Hmap_spinCechClass :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.KernelSign :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.KernelSign.kerMulEquiv :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.classOf_not_mem_range_toObstruction :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.d_zCochain :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.frameCechClass_eq_zero_iff_spinStructure :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.spinCechClass :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.spinCechClass_eq_zero_iff_exists_coherent :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.spinCechClass_eq_zero_iff_obstruction_eq_trivial :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.spinCechClass_lift_independent :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.spinCechClass_pull_indep_of_map :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.spinKernelSign :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.spinLiftCechClass :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.spinLiftCechClass_eq_zero_iff_exists_coherent :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.toObstruction :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.toObstruction_injective :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.toObstruction_spinCechClass :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.zCochain :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.zCochain_apply :: [Classical.choice, Quot.sound, propext]
CechSpinZ2.zCochain_change_of_lift :: [Classical.choice, Quot.sound, propext]
CechZ2.Cohomology :: [Classical.choice, Quot.sound, propext]
CechZ2.Hmap :: [Classical.choice, Quot.sound, propext]
CechZ2.Hmap_comp :: [Classical.choice, Quot.sound, propext]
CechZ2.Hmap_id :: [Classical.choice, Quot.sound, propext]
CechZ2.coboundaries_le_cocycles :: [Classical.choice, Quot.sound, propext]
CechZ2.coboundary_coboundary :: [Classical.choice, Quot.sound, propext]
CechZ2.coboundary_eq_alternating :: [Classical.choice, Quot.sound, propext]
CechZ2.d_comp_d :: [Classical.choice, Quot.sound, propext]
